"Step","lr1e-4_timesteps2e6_1 - episode_reward","lr1e-4_timesteps2e6_1 - episode_reward__MIN","lr1e-4_timesteps2e6_1 - episode_reward__MAX"
"20","NaN","",""
"25","NaN","",""
"39","NaN","",""
"63","NaN","",""
"72","NaN","",""
"150","-265.25782005882354","-265.25782005882354","-265.25782005882354"
"154","-275.0141651090909","-275.0141651090909","-275.0141651090909"
"207","-257.64705457407405","-257.64705457407405","-257.64705457407405"
"272","-260.11369326589596","-260.11369326589596","-260.11369326589596"
"343","-262.65825027049175","-262.65825027049175","-262.65825027049175"
"376","-258.5638564440433","-258.5638564440433","-258.5638564440433"
"428","-259.7726799209726","-259.7726799209726","-259.7726799209726"
"433","-262.6329329311377","-262.6329329311377","-262.6329329311377"
"489","-259.00359553333334","-259.00359553333334","-259.00359553333334"
"616","-252.42896215667307","-252.42896215667307","-252.42896215667307"
"659","-249.39972294642857","-249.39972294642857","-249.39972294642857"
"661","-249.4793595782918","-249.4793595782918","-249.4793595782918"
"683","-247.5979645273973","-247.5979645273973","-247.5979645273973"
"690","-247.95086020473775","-247.95086020473775","-247.95086020473775"
"715","-246.25785386038962","-246.25785386038962","-246.25785386038962"
"716","-246.04386007131282","-246.04386007131282","-246.04386007131282"
"738","-244.71062865571207","-244.71062865571207","-244.71062865571207"
"809","-239.6587708661972","-239.6587708661972","-239.6587708661972"
"867","-236.51657328385417","-236.51657328385417","-236.51657328385417"
"967","-232.5270756486175","-232.5270756486175","-232.5270756486175"
"1043","-226.84750663559322","-226.84750663559322","-226.84750663559322"
"1083","-224.30899803963416","-224.30899803963416","-224.30899803963416"
"1104","-222.55609110447762","-222.55609110447762","-222.55609110447762"
"1148","-220.53055573307913","-220.53055573307913","-220.53055573307913"
"1234","-216.02100944229073","-216.02100944229073","-216.02100944229073"
"1238","-215.6967096540825","-215.6967096540825","-215.6967096540825"
"1239","-215.6566173210526","-215.6566173210526","-215.6566173210526"
"1368","-209.97658123798269","-209.97658123798269","-209.97658123798269"
"1418","-207.79909151781652","-207.79909151781652","-207.79909151781652"
"1474","-204.7407361221818","-204.7407361221818","-204.7407361221818"
"1479","-204.65709937391304","-204.65709937391304","-204.65709937391304"
"1509","-202.97944398226952","-202.97944398226952","-202.97944398226952"
