"Step","lr5e-4_timesteps2e6_3 - episode_reward","lr5e-4_timesteps2e6_3 - episode_reward__MIN","lr5e-4_timesteps2e6_3 - episode_reward__MAX"
"0","NaN","",""
"37","NaN","",""
"60","NaN","",""
"127","-283.9541961071428","-283.9541961071428","-283.9541961071428"
"174","-263.02062173333337","-263.02062173333337","-263.02062173333337"
"192","-261.86678606451613","-261.86678606451613","-261.86678606451613"
"196","-262.2362001443299","-262.2362001443299","-262.2362001443299"
"207","-251.86300352777778","-251.86300352777778","-251.86300352777778"
"268","-243.30988896449702","-243.30988896449702","-243.30988896449702"
"288","-243.99060119047618","-243.99060119047618","-243.99060119047618"
"338","-245.08748702092052","-245.08748702092052","-245.08748702092052"
"375","-245.8705715217391","-245.8705715217391","-245.8705715217391"
"379","-245.60963713571425","-245.60963713571425","-245.60963713571425"
"389","-245.01363917241383","-245.01363917241383","-245.01363917241383"
"397","-244.13654781208055","-244.13654781208055","-244.13654781208055"
"437","-242.0343346094675","-242.0343346094675","-242.0343346094675"
"438","-241.98350838938057","-241.98350838938057","-241.98350838938057"
"454","-241.51695912957743","-241.51695912957743","-241.51695912957743"
"480","-238.24947385564303","-238.24947385564303","-238.24947385564303"
"503","-234.51858177970297","-234.51858177970297","-234.51858177970297"
"544","-233.70917961348314","-233.70917961348314","-233.70917961348314"
"602","-230.78265234393638","-230.78265234393638","-230.78265234393638"
"603","-231.48236138492067","-231.48236138492067","-231.48236138492067"
"608","-230.25197970726916","-230.25197970726916","-230.25197970726916"
"620","-228.53012314971207","-228.53012314971207","-228.53012314971207"
"665","-225.45721668727913","-225.45721668727913","-225.45721668727913"
"674","-224.95151981391302","-224.95151981391302","-224.95151981391302"
"706","-223.13651457166392","-223.13651457166392","-223.13651457166392"
"724","-221.97040326239997","-221.97040326239997","-221.97040326239997"
"741","-219.92094319003115","-219.92094319003115","-219.92094319003115"
"766","-220.08986924437778","-220.08986924437778","-220.08986924437778"
"767","-220.31848813173653","-220.31848813173653","-220.31848813173653"
"788","-218.60812854136432","-218.60812854136432","-218.60812854136432"
"833","-215.18114825204358","-215.18114825204358","-215.18114825204358"
"853","-214.06862216976126","-214.06862216976126","-214.06862216976126"
"855","-213.89018064021167","-213.89018064021167","-213.89018064021167"
"864","-214.3677279607843","-214.3677279607843","-214.3677279607843"
"904","-212.84824290931675","-212.84824290931675","-212.84824290931675"
"918","-211.65780055677655","-211.65780055677655","-211.65780055677655"
"928","-211.65819914957783","-211.65819914957783","-211.65819914957783"
"938","-211.09097054350417","-211.09097054350417","-211.09097054350417"
"964","-209.4681039815029","-209.4681039815029","-209.4681039815029"
"969","-209.28797723678161","-209.28797723678161","-209.28797723678161"
"971","-209.28833160550457","-209.28833160550457","-209.28833160550457"
"1002","-208.5566023864895","-208.5566023864895","-208.5566023864895"
"1011","-207.9904544835526","-207.9904544835526","-207.9904544835526"
"1028","-206.615347007535","-206.615347007535","-206.615347007535"
"1073","-203.78677266735113","-203.78677266735113","-203.78677266735113"
"1185","-198.92382590515652","-198.92382590515652","-198.92382590515652"
"1202","-198.0396582175884","-198.0396582175884","-198.0396582175884"
"1270","-194.60707298975237","-194.60707298975237","-194.60707298975237"
"1370","-190.34697907867823","-190.34697907867823","-190.34697907867823"
"1460","-186.7045077083027","-186.7045077083027","-186.7045077083027"
"1502","-185.16299958517462","-185.16299958517462","-185.16299958517462"
"1536","-184.11876603131526","-184.11876603131526","-184.11876603131526"
"1552","-183.66835872814866","-183.66835872814866","-183.66835872814866"
"1566","-183.09630801226996","-183.09630801226996","-183.09630801226996"
"1570","-182.9105937736234","-182.9105937736234","-182.9105937736234"
"1593","-182.53323658500668","-182.53323658500668","-182.53323658500668"
"1629","-181.27087093986927","-181.27087093986927","-181.27087093986927"
"1636","-181.09311638711776","-181.09311638711776","-181.09311638711776"
"1720","-178.08642026711905","-178.08642026711905","-178.08642026711905"
"1727","-177.91755673095824","-177.91755673095824","-177.91755673095824"
"1744","-177.45431030334348","-177.45431030334348","-177.45431030334348"
"1767","-176.60591035671462","-176.60591035671462","-176.60591035671462"
"1771","-176.49911316746412","-176.49911316746412","-176.49911316746412"
"1779","-176.16790361369047","-176.16790361369047","-176.16790361369047"
"1800","-175.8388762245738","-175.8388762245738","-175.8388762245738"
"1835","-174.94890225403225","-174.94890225403225","-174.94890225403225"
"1869","-173.74831832316386","-173.74831832316386","-173.74831832316386"
"1925","-172.79950860295727","-172.79950860295727","-172.79950860295727"
"2067","-169.74373218191056","-169.74373218191056","-169.74373218191056"
"2084","-169.45869194055416","-169.45869194055416","-169.45869194055416"
"2092","-169.28912550878076","-169.28912550878076","-169.28912550878076"
"2123","-168.66630566699607","-168.66630566699607","-168.66630566699607"
"2130","-168.5328153417036","-168.5328153417036","-168.5328153417036"
"2133","-168.4766342571288","-168.4766342571288","-168.4766342571288"
