"Step","lr1e-4_timesteps2e6_3 - episode_reward","lr1e-4_timesteps2e6_3 - episode_reward__MIN","lr1e-4_timesteps2e6_3 - episode_reward__MAX"
"29","NaN","",""
"122","-249.1976455217392","-249.1976455217392","-249.1976455217392"
"146","-249.08464825531914","-249.08464825531914","-249.08464825531914"
"176","-254.72453522077922","-254.72453522077922","-254.72453522077922"
"255","-272.4021269038462","-272.4021269038462","-272.4021269038462"
"263","-266.65398710975603","-266.65398710975603","-266.65398710975603"
"494","-239.88557319240508","-239.88557319240508","-239.88557319240508"
"557","-240.7044134912664","-240.7044134912664","-240.7044134912664"
"565","-239.27578750214593","-239.27578750214593","-239.27578750214593"
"638","-235.93766163636363","-235.93766163636363","-235.93766163636363"
"700","-233.4081688985025","-233.4081688985025","-233.4081688985025"
"759","-230.04286038636363","-230.04286038636363","-230.04286038636363"
"795","-226.11640434770115","-226.11640434770115","-226.11640434770115"
"799","-226.05356181571426","-226.05356181571426","-226.05356181571426"
"821","-224.51855252493073","-224.51855252493073","-224.51855252493073"
"823","-224.21928022928176","-224.21928022928176","-224.21928022928176"
"839","-224.0008551216216","-224.0008551216216","-224.0008551216216"
"858","-223.62759308563898","-223.62759308563898","-223.62759308563898"
"925","-219.50547167917674","-219.50547167917674","-219.50547167917674"
"945","-218.75978168794325","-218.75978168794325","-218.75978168794325"
"973","-217.9273266201373","-217.9273266201373","-217.9273266201373"
"1012","-215.1538941456736","-215.1538941456736","-215.1538941456736"
"1018","-214.99930899238302","-214.99930899238302","-214.99930899238302"
"1108","-208.94605215956392","-208.94605215956392","-208.94605215956392"
"1113","-208.78516516765285","-208.78516516765285","-208.78516516765285"
"1116","-208.68481189872173","-208.68481189872173","-208.68481189872173"
"1183","-205.93649439575645","-205.93649439575645","-205.93649439575645"
"1265","-200.819449796741","-200.819449796741","-200.819449796741"
"1302","-200.0168978329177","-200.0168978329177","-200.0168978329177"
"1326","-198.84721645721268","-198.84721645721268","-198.84721645721268"
"1332","-198.6621541030008","-198.6621541030008","-198.6621541030008"
"1368","-197.3583926146572","-197.3583926146572","-197.3583926146572"
"1423","-195.12695725830815","-195.12695725830815","-195.12695725830815"
"1459","-193.78094226176472","-193.78094226176472","-193.78094226176472"
"1581","-189.7659393151147","-189.7659393151147","-189.7659393151147"
"1617","-188.60776944334648","-188.60776944334648","-188.60776944334648"
"1625","-188.4372515399738","-188.4372515399738","-188.4372515399738"
"1640","-188.122132605451","-188.122132605451","-188.122132605451"
"1716","-185.60247568707484","-185.60247568707484","-185.60247568707484"
"1797","-183.36004938869257","-183.36004938869257","-183.36004938869257"
"1805","-183.2564827409144","-183.2564827409144","-183.2564827409144"
"1834","-182.4604849037464","-182.4604849037464","-182.4604849037464"
"1846","-182.02397419118486","-182.02397419118486","-182.02397419118486"
"1881","-181.23580828170594","-181.23580828170594","-181.23580828170594"
"1886","-181.00701947901513","-181.00701947901513","-181.00701947901513"
"1932","-179.96007079596293","-179.96007079596293","-179.96007079596293"
"1954","-179.4375275962264","-179.4375275962264","-179.4375275962264"
"1960","-179.41025176894144","-179.41025176894144","-179.41025176894144"
"1964","-179.3710627994638","-179.3710627994638","-179.3710627994638"
"2065","-176.7332941795524","-176.7332941795524","-176.7332941795524"
"2117","-175.59520196878097","-175.59520196878097","-175.59520196878097"
"2172","-174.2792810265316","-174.2792810265316","-174.2792810265316"
"2234","-173.1272763124122","-173.1272763124122","-173.1272763124122"
"2260","-172.623364184174","-172.623364184174","-172.623364184174"
"2376","-170.44032387571366","-170.44032387571366","-170.44032387571366"
"2429","-169.85831174506438","-169.85831174506438","-169.85831174506438"
"2450","-169.74952241301577","-169.74952241301577","-169.74952241301577"
"2451","-169.74772102508504","-169.74772102508504","-169.74772102508504"
"2477","-169.47858517073172","-169.47858517073172","-169.47858517073172"
"2484","-169.394754154717","-169.394754154717","-169.394754154717"
"2493","-169.1607114883041","-169.1607114883041","-169.1607114883041"
"2579","-167.67034695483872","-167.67034695483872","-167.67034695483872"
"2629","-166.65299571146247","-166.65299571146247","-166.65299571146247"
"2649","-166.39441693058822","-166.39441693058822","-166.39441693058822"
"2653","-166.28804221730618","-166.28804221730618","-166.28804221730618"
"2701","-165.55169462144505","-165.55169462144505","-165.55169462144505"
"2727","-165.00871289916284","-165.00871289916284","-165.00871289916284"
"2808","-163.8036592978959","-163.8036592978959","-163.8036592978959"
"2811","-163.80403414011798","-163.80403414011798","-163.80403414011798"
"2822","-163.62641496584652","-163.62641496584652","-163.62641496584652"
"2824","-163.63370758385324","-163.63370758385324","-163.63370758385324"
"2833","-163.37736980541334","-163.37736980541334","-163.37736980541334"
"2887","-162.4473471438307","-162.4473471438307","-162.4473471438307"
"2901","-162.25254134189865","-162.25254134189865","-162.25254134189865"
"2905","-162.20245781147543","-162.20245781147543","-162.20245781147543"
"2913","-162.1343193024165","-162.1343193024165","-162.1343193024165"
"2974","-161.48656192486956","-161.48656192486956","-161.48656192486956"
"3036","-160.90195286516854","-160.90195286516854","-160.90195286516854"
"3042","-160.77667765069657","-160.77667765069657","-160.77667765069657"
"3072","-160.42371826135218","-160.42371826135218","-160.42371826135218"
"3135","-159.7304671749012","-159.7304671749012","-159.7304671749012"
"3198","-158.90106462471766","-158.90106462471766","-158.90106462471766"
"3315","-157.6711511215796","-157.6711511215796","-157.6711511215796"
"3319","-157.6895842145963","-157.6895842145963","-157.6895842145963"
