"Step","lr5e-4_timesteps2e6_1 - episode_reward","lr5e-4_timesteps2e6_1 - episode_reward__MIN","lr5e-4_timesteps2e6_1 - episode_reward__MAX"
"22","NaN","",""
"54","NaN","",""
"125","-271.67858711538463","-271.67858711538463","-271.67858711538463"
"185","-249.33649175581397","-249.33649175581397","-249.33649175581397"
"189","-244.13808915555558","-244.13808915555558","-244.13808915555558"
"349","-257.324961576","-257.324961576","-257.324961576"
"369","-255.1580580888889","-255.1580580888889","-255.1580580888889"
"372","-255.86426555311354","-255.86426555311354","-255.86426555311354"
"383","-254.0559593802817","-254.0559593802817","-254.0559593802817"
"389","-254.60746258620688","-254.60746258620688","-254.60746258620688"
"456","-249.30060084593836","-249.30060084593836","-249.30060084593836"
"475","-248.8011039202128","-248.8011039202128","-248.8011039202128"
"495","-247.66151150757577","-247.66151150757577","-247.66151150757577"
"511","-247.05537434708737","-247.05537434708737","-247.05537434708737"
"521","-248.0811543033175","-248.0811543033175","-248.0811543033175"
"537","-248.42315834474883","-248.42315834474883","-248.42315834474883"
"576","-245.0431509308176","-245.0431509308176","-245.0431509308176"
"578","-244.9627143048017","-244.9627143048017","-244.9627143048017"
"609","-242.73619121764708","-242.73619121764708","-242.73619121764708"
"665","-236.49446981095406","-236.49446981095406","-236.49446981095406"
"696","-235.15329842378557","-235.15329842378557","-235.15329842378557"
"726","-232.49042649441785","-232.49042649441785","-232.49042649441785"
"731","-231.9192243971519","-231.9192243971519","-231.9192243971519"
"735","-231.7889547955975","-231.7889547955975","-231.7889547955975"
"740","-231.91144715132606","-231.91144715132606","-231.91144715132606"
"745","-231.40182783436532","-231.40182783436532","-231.40182783436532"
"790","-227.14727299276407","-227.14727299276407","-227.14727299276407"
"824","-224.32057506896552","-224.32057506896552","-224.32057506896552"
"861","-220.09640192782152","-220.09640192782152","-220.09640192782152"
"918","-216.12725453724053","-216.12725453724053","-216.12725453724053"
"930","-215.34018841516246","-215.34018841516246","-215.34018841516246"
"939","-215.29867831785714","-215.29867831785714","-215.29867831785714"
"947","-215.1829710259434","-215.1829710259434","-215.1829710259434"
"997","-211.40632423385304","-211.40632423385304","-211.40632423385304"
"1050","-208.7293015015773","-208.7293015015773","-208.7293015015773"
"1054","-208.5055243172775","-208.5055243172775","-208.5055243172775"
"1064","-207.99418756373058","-207.99418756373058","-207.99418756373058"
"1116","-205.3621541376598","-205.3621541376598","-205.3621541376598"
"1130","-204.43581750436468","-204.43581750436468","-204.43581750436468"
"1138","-203.74914516361886","-203.74914516361886","-203.74914516361886"
"1193","-200.5649549003656","-200.5649549003656","-200.5649549003656"
"1243","-198.19766636363636","-198.19766636363636","-198.19766636363636"
"1247","-197.87083506358886","-197.87083506358886","-197.87083506358886"
"1299","-194.6937415975","-194.6937415975","-194.6937415975"
"1379","-191.41549190546874","-191.41549190546874","-191.41549190546874"
"1383","-191.36092619080998","-191.36092619080998","-191.36092619080998"
"1391","-190.9980877871517","-190.9980877871517","-190.9980877871517"
"1404","-190.85229756704982","-190.85229756704982","-190.85229756704982"
"1445","-189.43820699405646","-189.43820699405646","-189.43820699405646"
"1448","-189.29868368421052","-189.29868368421052","-189.29868368421052"
"1540","-185.48506884108258","-185.48506884108258","-185.48506884108258"
"1551","-185.29478013911844","-185.29478013911844","-185.29478013911844"
"1607","-183.50803353978782","-183.50803353978782","-183.50803353978782"
"1615","-183.2571785666227","-183.2571785666227","-183.2571785666227"
"1669","-181.5605383","-181.5605383","-181.5605383"
"1681","-181.14582795954485","-181.14582795954485","-181.14582795954485"
"1738","-179.27360069493594","-179.27360069493594","-179.27360069493594"
"1760","-178.4192355996388","-178.4192355996388","-178.4192355996388"
"1773","-178.0264517401434","-178.0264517401434","-178.0264517401434"
"1807","-177.47073669379392","-177.47073669379392","-177.47073669379392"
"1809","-177.35660896491228","-177.35660896491228","-177.35660896491228"
"1819","-177.17063530755814","-177.17063530755814","-177.17063530755814"
"1860","-176.28418692561044","-176.28418692561044","-176.28418692561044"
"1868","-176.11982502035048","-176.11982502035048","-176.11982502035048"
"1885","-175.77659903583424","-175.77659903583424","-175.77659903583424"
"1889","-175.57350079999998","-175.57350079999998","-175.57350079999998"
"1971","-173.57453638408123","-173.57453638408123","-173.57453638408123"
"1972","-173.51166049652963","-173.51166049652963","-173.51166049652963"
"2029","-172.36687245440416","-172.36687245440416","-172.36687245440416"
"2046","-171.86569293888033","-171.86569293888033","-171.86569293888033"
"2048","-171.73531834889687","-171.73531834889687","-171.73531834889687"
"2179","-168.83872035721154","-168.83872035721154","-168.83872035721154"
"2195","-168.75463075572517","-168.75463075572517","-168.75463075572517"
"2371","-165.01928077376763","-165.01928077376763","-165.01928077376763"
"2434","-163.96559190963598","-163.96559190963598","-163.96559190963598"
"2450","-163.69114300425352","-163.69114300425352","-163.69114300425352"
"2551","-161.9849780297716","-161.9849780297716","-161.9849780297716"
"2553","-162.01474169070903","-162.01474169070903","-162.01474169070903"
"2583","-161.38464487399358","-161.38464487399358","-161.38464487399358"
"2591","-161.2536780260835","-161.2536780260835","-161.2536780260835"
"2593","-161.2424963436247","-161.2424963436247","-161.2424963436247"
"2617","-160.6235527915012","-160.6235527915012","-160.6235527915012"
"2620","-160.51402553074175","-160.51402553074175","-160.51402553074175"
"2634","-160.2637932378698","-160.2637932378698","-160.2637932378698"
"2697","-159.2380563252502","-159.2380563252502","-159.2380563252502"
"2760","-158.03698992145812","-158.03698992145812","-158.03698992145812"
"2857","-157.16331243437276","-157.16331243437276","-157.16331243437276"
"2863","-157.10854991859625","-157.10854991859625","-157.10854991859625"
"2872","-156.9833849026325","-156.9833849026325","-156.9833849026325"
"2904","-156.66926461960784","-156.66926461960784","-156.66926461960784"
"2986","-155.59589098302737","-155.59589098302737","-155.59589098302737"
"2989","-155.5459695619377","-155.5459695619377","-155.5459695619377"
"2991","-155.5154788727524","-155.5154788727524","-155.5154788727524"
"2994","-155.54237221865284","-155.54237221865284","-155.54237221865284"
"3033","-155.06582176687118","-155.06582176687118","-155.06582176687118"
"3107","-154.29859696077128","-154.29859696077128","-154.29859696077128"
"3134","-154.00317742306424","-154.00317742306424","-154.00317742306424"
"3188","-153.335043925866","-153.335043925866","-153.335043925866"
"3208","-153.04758965744614","-153.04758965744614","-153.04758965744614"
"3228","-152.76595093991693","-152.76595093991693","-152.76595093991693"
"3249","-152.58728202063492","-152.58728202063492","-152.58728202063492"
"3267","-152.4245563645833","-152.4245563645833","-152.4245563645833"
"3275","-152.26780906958436","-152.26780906958436","-152.26780906958436"
"3281","-152.23562219327465","-152.23562219327465","-152.23562219327465"
"3303","-151.86229581991262","-151.86229581991262","-151.86229581991262"
"3331","-151.5968120887995","-151.5968120887995","-151.5968120887995"
"3356","-151.41041978262203","-151.41041978262203","-151.41041978262203"
"3368","-151.18705146099725","-151.18705146099725","-151.18705146099725"
"3383","-150.93003006729597","-150.93003006729597","-150.93003006729597"
"3386","-150.8982150794037","-150.8982150794037","-150.8982150794037"
"3403","-150.66843911652543","-150.66843911652543","-150.66843911652543"
"3420","-150.46755711623007","-150.46755711623007","-150.46755711623007"
"3479","-150.32071720029586","-150.32071720029586","-150.32071720029586"
"3526","-150.1409349177123","-150.1409349177123","-150.1409349177123"
"3577","-149.6318161667625","-149.6318161667625","-149.6318161667625"
"3605","-149.34199862150598","-149.34199862150598","-149.34199862150598"
"3609","-149.26526017435899","-149.26526017435899","-149.26526017435899"
"3636","-148.86129766610122","-148.86129766610122","-148.86129766610122"
"3666","-148.6465326815251","-148.6465326815251","-148.6465326815251"
"3687","-148.52980320373467","-148.52980320373467","-148.52980320373467"
"3690","-148.5628220565302","-148.5628220565302","-148.5628220565302"
"3737","-148.19892251594283","-148.19892251594283","-148.19892251594283"
"3770","-147.95534102751296","-147.95534102751296","-147.95534102751296"
"3781","-147.78843363199348","-147.78843363199348","-147.78843363199348"
"3815","-147.58436469402582","-147.58436469402582","-147.58436469402582"
"3846","-147.44655685108089","-147.44655685108089","-147.44655685108089"
"3854","-147.43593028495343","-147.43593028495343","-147.43593028495343"
"3877","-147.26331229592378","-147.26331229592378","-147.26331229592378"
"3925","-147.0156596058547","-147.0156596058547","-147.0156596058547"
"3944","-146.85428234902471","-146.85428234902471","-146.85428234902471"
"4078","-145.9285022199045","-145.9285022199045","-145.9285022199045"
"4129","-145.6780639426799","-145.6780639426799","-145.6780639426799"
"4162","-145.4835989246862","-145.4835989246862","-145.4835989246862"
