"Step","lr1e-4_timesteps2e6_2 - episode_reward","lr1e-4_timesteps2e6_2 - episode_reward__MIN","lr1e-4_timesteps2e6_2 - episode_reward__MAX"
"48","NaN","",""
"52","NaN","",""
"69","NaN","",""
"97","NaN","",""
"187","-271.95160332954543","-271.95160332954543","-271.95160332954543"
"213","-277.8753084385965","-277.8753084385965","-277.8753084385965"
"220","-275.5389342644628","-275.5389342644628","-275.5389342644628"
"225","-274.0497321031746","-274.0497321031746","-274.0497321031746"
"329","-256.8768818565217","-256.8768818565217","-256.8768818565217"
"363","-252.50261163257574","-252.50261163257574","-252.50261163257574"
"411","-247.31274201282054","-247.31274201282054","-247.31274201282054"
"481","-245.9837958193717","-245.9837958193717","-245.9837958193717"
"502","-244.9860931116625","-244.9860931116625","-244.9860931116625"
"512","-244.01135882324456","-244.01135882324456","-244.01135882324456"
"531","-241.99533814814816","-241.99533814814816","-241.99533814814816"
"535","-242.12518116284403","-242.12518116284403","-242.12518116284403"
"555","-242.1432160723684","-242.1432160723684","-242.1432160723684"
"662","-234.46693034991117","-234.46693034991117","-234.46693034991117"
"696","-234.05844580067003","-234.05844580067003","-234.05844580067003"
"732","-232.5904012622433","-232.5904012622433","-232.5904012622433"
"764","-230.6986509473684","-230.6986509473684","-230.6986509473684"
"864","-224.04789299084965","-224.04789299084965","-224.04789299084965"
"877","-223.09712618251928","-223.09712618251928","-223.09712618251928"
"879","-223.16318116666665","-223.16318116666665","-223.16318116666665"
"1036","-214.12472290501603","-214.12472290501603","-214.12472290501603"
"1107","-211.17248518948412","-211.17248518948412","-211.17248518948412"
"1116","-210.44796271681417","-210.44796271681417","-210.44796271681417"
"1122","-209.99089380351907","-209.99089380351907","-209.99089380351907"
"1142","-208.33131220230106","-208.33131220230106","-208.33131220230106"
"1171","-206.37565632649253","-206.37565632649253","-206.37565632649253"
"1184","-206.60682796036866","-206.60682796036866","-206.60682796036866"
"1213","-204.94372218581688","-204.94372218581688","-204.94372218581688"
